State,Year,Male_le,Female_le
Alabama,1990,69.6,77.6
Alabama,1991,69.6,77.5
Alabama,1992,70.2,78.2
Alabama,1993,70.3,77.1
Alabama,1994,70.2,77.6
Alabama,1995,70.1,77.8
Alabama,1996,70.4,77.6
Alabama,1997,70.8,78
Alabama,1998,71,77.7
Alabama,1999,71.2,77.6
Alabama,2000,71.2,77.9
Alabama,2001,71.5,77.7
Alabama,2002,71.5,77.7
Alabama,2003,71.4,77.6
Alabama,2004,71.6,77.7
Alabama,2005,71.6,77.5
Alabama,2006,71.5,77.8
Alabama,2007,71.7,78
Alabama,2008,72.1,78.1
Alabama,2009,72.5,78.2
Alaska,1990,72,79.3
Alaska,1991,72.3,79.2
Alaska,1992,72.7,79.5
Alaska,1993,73.1,79.6
Alaska,1994,73.1,79.5
Alaska,1995,73.1,79.3
Alaska,1996,73.2,79.3
Alaska,1997,73.4,79.5
Alaska,1998,73.9,79.6
Alaska,1999,74.3,79.6
Alaska,2000,74.5,79.6
Alaska,2001,74.6,79.6
Alaska,2002,74.5,79.8
Alaska,2003,74.8,79.9
Alaska,2004,75.1,80.3
Alaska,2005,75.5,80.6
Alaska,2006,75.9,80.3
Alaska,2007,75.9,80.5
Alaska,2008,75.8,80.7
Alaska,2009,75.6,80.5
Arizona,1990,72.6,79.9
Arizona,1991,73,79.9
Arizona,1992,72.8,80.4
Arizona,1993,72.7,79.7
Arizona,1994,73,80
Arizona,1995,73.3,80
Arizona,1996,73.8,80.1
Arizona,1997,74.3,80.4
Arizona,1998,74.5,80.3
Arizona,1999,74.4,80.2
Arizona,2000,74.8,80.4
Arizona,2001,75,80.5
Arizona,2002,74.9,80.6
Arizona,2003,75.1,80.7
Arizona,2004,75.6,81.1
Arizona,2005,75.4,81
Arizona,2006,75.8,81.2
Arizona,2007,76.6,81.8
Arizona,2008,77,82.2
Arizona,2009,77.6,82.4
Arkansas,1990,70.6,78
Arkansas,1991,70.5,78.1
Arkansas,1992,70.9,78.3
Arkansas,1993,70.5,78
Arkansas,1994,70.7,78.4
Arkansas,1995,70.9,78.6
Arkansas,1996,71.4,78.5
Arkansas,1997,71.3,77.9
Arkansas,1998,71.8,78.4
Arkansas,1999,71.9,78.5
Arkansas,2000,71.9,78.1
Arkansas,2001,72.2,78.3
Arkansas,2002,72.1,77.9
Arkansas,2003,72.2,78.4
Arkansas,2004,72.6,78.2
Arkansas,2005,72.4,78.7
Arkansas,2006,72.5,78.6
Arkansas,2007,73,78.5
Arkansas,2008,72.7,78.4
Arkansas,2009,73,79.1
California,1990,72.6,79.3
California,1991,72.7,79.5
California,1992,73.1,79.7
California,1993,73,79.7
California,1994,73.3,79.8
California,1995,73.6,80.1
California,1996,74.4,80.1
California,1997,75,80.3
California,1998,75.3,80.3
California,1999,75.7,80.5
California,2000,75.9,80.8
California,2001,76,80.8
California,2002,76.2,81
California,2003,76.2,81.1
California,2004,76.8,81.5
California,2005,76.7,81.6
California,2006,76.9,81.9
California,2007,77.4,82.2
California,2008,77.7,82.4
California,2009,78.1,82.8
Colorado,1990,73.9,80
Colorado,1991,73.8,80
Colorado,1992,74.2,80.7
Colorado,1993,74.4,80.2
Colorado,1994,74.2,80.5
Colorado,1995,74.5,80.4
Colorado,1996,75.1,80.2
Colorado,1997,75.5,80.6
Colorado,1998,75.4,80.3
Colorado,1999,75.8,80.4
Colorado,2000,76.2,80.6
Colorado,2001,76.2,80.5
Colorado,2002,75.9,80.8
Colorado,2003,76.4,80.7
Colorado,2004,76.7,81.4
Colorado,2005,76.7,81.5
Colorado,2006,77.3,81.4
Colorado,2007,77.5,82
Colorado,2008,77.5,81.8
Colorado,2009,77.8,82.1
Connecticut,1990,73.9,80.2
Connecticut,1991,73.9,80.2
Connecticut,1992,73.9,80.6
Connecticut,1993,73.9,80.2
Connecticut,1994,73.9,80.2
Connecticut,1995,74.3,80.2
Connecticut,1996,74.7,80.4
Connecticut,1997,75.2,80.7
Connecticut,1998,75.5,80.6
Connecticut,1999,75.9,81.1
Connecticut,2000,75.7,80.9
Connecticut,2001,76.3,81
Connecticut,2002,76.2,81.5
Connecticut,2003,76.6,81.8
Connecticut,2004,76.8,81.6
Connecticut,2005,77.1,82.1
Connecticut,2006,77.1,82
Connecticut,2007,77.5,82.3
Connecticut,2008,77.8,82.5
Connecticut,2009,78.3,82.6
Delaware,1990,71.9,77.8
Delaware,1991,71.9,78
Delaware,1992,72.5,78.3
Delaware,1993,72.2,78.3
Delaware,1994,71.6,79
Delaware,1995,72.7,79
Delaware,1996,72.8,78.6
Delaware,1997,73.6,78.9
Delaware,1998,73.6,78.9
Delaware,1999,73.9,79.3
