State,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Alabama,10.2,9.2,4.1,3.2,3.4,4,5.2,5.2,5.3,4.2,3.9,4.1,3.7,4.4,4.6,5.2,5.7,6.9,7.1,6.9,6.3
Alaska,8.1,7.3,6.2,5.9,6.7,6.9,7.5,7.7,6.8,6.1,6.1,6.2,6,7.5,7.6,7,7.8,7.9,9.3,7.6,7.1
Arizona,10.8,9,4.5,3.7,4.3,4.6,5.2,5.8,6,4.2,4,4.5,4.2,4.9,5.4,5.4,6.1,6.7,7.7,5.1,5.4
Arkansas,7.9,7.3,4.9,5.2,5.2,5.2,5.7,5.7,5.4,4.4,4.3,4.4,5.1,5.1,5.1,4.7,5.7,6.4,7.4,7.4,6.6
California,12.4,10.5,6.1,5,4.9,5.6,6.5,6.9,6.6,4.9,5,5.4,6,6.7,7.7,7.8,9.1,9.8,9,7.6,5.2
Colorado,9,7.7,4.3,3.5,4.4,5.2,5.7,6,5.7,2.8,2.6,2.9,3.5,3.4,4.2,3.7,4.6,5.8,6.1,5.3,5.3
Connecticut,9.2,7.7,5,4.4,4.3,4.9,5.1,5.5,3.8,2.8,2.3,2.7,3.5,5.4,5.3,5.3,5.5,6.8,7.4,6,4.8
Delaware,8.3,7.5,3.9,3.4,3.6,3.9,3.9,4.2,4,3.5,3.2,3.1,3.8,4.3,4.9,4,5.2,5,5.6,6.2,3.2
District of Columbia,10.3,9,5.8,5.4,5.8,7.1,7.3,7,6.8,5.9,5.8,7,8.3,8.5,8.6,8.3,8.4,8.7,8.5,7.3,5.3
Florida,11.3,9.6,5.1,3.6,3.3,4.1,4.8,5.4,5.9,4.1,3.8,4.1,4.6,5.2,5.4,5.6,7,7.4,8.6,7.3,6
Georgia,10.3,9.2,5.4,4.4,4.7,5.3,4.5,4.9,4.9,3.6,3.6,3.9,4.3,4.8,4.5,4.5,5.6,6.2,7,5.4,5.1
Hawaii,6.9,6.7,3.2,2.5,2.6,2.8,3.5,3.8,4.5,3.9,4.1,5.1,5.4,5.8,5.9,5.2,5.1,4.6,3.9,2.7,2.5
Idaho,8.6,6.7,3.9,2.7,3.2,4,4.8,5.3,5.3,4.7,4.6,4.9,5.1,5.2,5.3,5.2,5.5,6.3,6.5,6,5.3
Illinois,11.1,9,5.6,4.7,4.8,6,6.3,6.6,6.5,5.2,4.4,4.3,4.5,5,5.4,5.2,6.4,7.8,8.5,6.8,6.2
Indiana,10.5,10.2,4.9,4.6,5,5.4,5.1,5.2,5.3,3.5,2.8,2.7,2.7,3.2,4.2,4.2,4.6,5.8,6,6,5
Iowa,6.3,6.1,3.8,3.6,3.8,4.5,4.6,4.2,3.8,3.2,2.7,2.6,3,3.3,3.7,3.6,3.9,4.3,4.6,4.6,4.4
Kansas,7.2,6.8,4,4.1,4.4,5.2,5.6,5.3,5.1,4,3.7,3.5,3.7,4.1,4.3,4.6,5,5.1,4.5,4.8,4.1
Kentucky,10.5,9.9,5.8,5.7,6.1,5.9,5.8,6.2,5.8,4.8,4.1,4.7,4.4,5.8,5.4,5.4,5.6,6.8,7,7.4,5.9
Louisiana,7,6.3,3.8,3.9,4.1,5.2,5.6,6.3,5.8,5.1,4.7,4.6,5.1,5.9,6.5,6.8,7.9,7.4,7.7,6.9,5.4
Maine,8.4,8,4.8,4.5,4.4,4.8,4.5,4.9,4.1,3.3,3.3,3.8,4.5,5.3,5.5,6,6.9,6.9,7.7,8.4,4.6
Maryland,8,7,3.4,3.4,3.7,4.2,4.3,4.5,4.5,3.7,3.5,3.7,4.4,4.8,5.1,4.9,5.5,6.2,6.8,6.3,3.7
Massachusetts,8.6,7.6,4.6,4.5,4.8,4.8,5.4,5.7,5.1,3.1,2.8,3.3,3.5,4.2,4.9,5.6,6.5,7.9,9,8.6,5.5
Michigan,13.4,12.6,7.1,6.8,6.7,7,6.9,7,6.3,4.7,3.3,4,3.8,4.5,5,5.4,6.8,7.5,9.7,9.5,7.6
Minnesota,7.6,8.1,4.9,4.6,4.1,4.3,4.8,4.7,4.8,3.5,2.9,2.5,2.7,3.4,3.9,3.7,4.3,5.1,5.1,5.3,4.6
Mississippi,10.7,8.6,6.1,6.5,6.8,7.1,5.6,6.7,7,5,6,5,5.5,6,6.6,6.3,7.1,7.4,8.5,9.4,7.6
Missouri,9.4,9.2,5.3,4.7,4.6,5.6,5.4,5.4,5.2,4.2,2.9,3.1,4.3,4.4,4.6,4.9,5.3,6.3,6.2,6.9,5.4
Montana,6.8,5.6,4,3.2,3.3,3.8,4.1,4.3,4.4,4.5,4.9,5.3,5.5,5.5,5.5,5.4,5.6,6.1,6.5,6.4,6
Nebraska,4.8,4.4,2.9,2.8,3,4,3.9,3.9,3.8,2.9,2.7,2.7,2.3,2.5,2.8,2.5,2.7,2.9,2.8,2.5,2.3
Nevada,13.5,10.4,5.8,4.3,4.2,4.5,4.6,5.6,6.2,5,3.8,4.3,4.9,4.6,5.4,5.8,6.4,7.5,7.1,6,4.6
New Hampshire,6.5,5.8,3.6,3.7,3.4,3.6,4.1,4.4,4.4,3,2.7,2.8,2.9,3.1,3.8,4.1,5.1,6.9,7.6,7.1,5.1
New Jersey,9.7,8.3,4.8,4.2,4.7,4.3,5.2,5.9,5.7,3.7,3.6,4.5,4.8,5.6,6.5,6.4,7.1,8.1,8.2,6.6,4.7
New Mexico,7.9,6.1,3.8,3.4,4.4,5.4,5.9,5.8,5.4,4.9,5.1,5.7,6.3,7,7.4,6.6,6.8,7.4,7.6,7.4,6.7
New York,8.8,7.8,4.8,4.3,4.8,5,6.2,6.4,6.3,4.3,4.6,5.3,5.9,6.7,6.5,6.3,7.5,8.1,8.6,7.2,5.2
North Carolina,11.3,10,5.3,4.6,4.6,5.3,5.7,6.5,6.9,4.9,3.5,3.1,3.8,4,4.7,4.1,4.6,5.6,6.3,5.9,3.6
North Dakota,3.9,4.2,2.8,3,3.1,3.4,3.4,3.6,3.5,2.6,3,3.3,2.7,3.1,3.2,3.3,3.9,4.5,4.7,4.3,3.9
Ohio,10.4,9.6,5.7,5.5,5.3,6,6.1,6.2,5.7,3.9,4,4.2,4.2,4.8,5.1,4.7,6.3,6.9,7.4,6.8,5.6
Oklahoma,7.1,6.1,3.3,4.2,4,4.7,5.2,5.6,4.8,3.1,3.2,3.8,4.1,4.2,4.3,4.6,6,6.1,6.6,6.4,5.5
Oregon,10.9,11.1,5.3,5,5.3,6.3,7.6,8.1,7.7,5.6,5,5.5,5.4,5.7,5.5,4.8,5.9,7.2,7.4,6,5
Pennsylvania,8.7,7.4,4.8,4.2,4.6,5.1,5.5,5.8,5.6,4.4,4,4.4,4.6,5.2,5.7,5.9,6.6,7.4,7.7,6.8,5.1
Rhode Island,11.8,10.1,6.6,4.8,5.1,5,5.4,5.3,4.9,4.5,4.2,4.2,4.8,5.3,5.5,6.3,7.1,8.4,8.9,7.6,5.5
South Carolina,11.6,11.1,5.5,5.6,6.4,6.8,6.8,6.5,6,4.6,3.5,3.9,3.2,5,5.5,4.9,6.8,7.5,6.6,5.8,4.6
South Dakota,5.2,5.2,2.7,2.9,3.1,3.8,3.5,3.4,3.4,2.9,2.5,2.8,2.9,3.1,3.4,3.1,3.4,3.6,3.5,3.6,3.7
Tennessee,10.2,10.2,5.7,4.4,5.4,5.7,5.3,5.5,5.6,4.2,3.9,4.2,4.5,5.5,5.3,5.1,5.2,6.3,6.7,6.7,5.2
Texas,8.2,6.8,4.4,4.3,5.1,5.5,6.2,6.7,6.3,4.4,4.5,4.7,5,5.6,6,6,6.9,7.4,7.7,7,6.4
