State,Total_twothousandeight,Total_twothousandnine
"Alabama",465.7,459.9
"Alaska",654.4,632.6
"Arizona",478.6,423.2
"Arkansas",516.4,530.3
"California",503.8,473.4
"Colorado",344.1,340.9
"Connecticut",306.7,300.5
"Delaware",708.6,645.1
"District of Columbia",1437.7,1348.9
"Florida",688.9,612.6
"Georgia",496.1,432.6
"Hawaii",272.5,274.1
"Idaho",239.3,238.5
"Illinois",0,0
"Indiana",375.5,366.4
"Iowa",298.2,294.5
"Kansas",415.1,412.0
"Kentucky",306.6,265.5
"Louisiana",658.4,628.4
"Maine",119.4,119.9
"Maryland",628.2,590.0
"Massachusetts",466.2,465.6
"Michigan",522.2,504.4
"Minnesota",0,0
"Mississippi",328.7,306.7
"Missouri",505.2,500.3
"Montana",302.0,283.9
"Nebraska",323.3,305.5
"Nevada",727.5,704.6
"New Hampshire",166.0,169.5
"New Jersey",326.1,311.3
"New Mexico",670.6,652.8
"New York",401.8,385.5
"North Carolina",486.6,414.0
"North Dakota",200.5,223.6
"Ohio",385.1,358.1
"Oklahoma",539.7,510.4
"Oregon",265.0,261.2
"Pennsylvania",417.0,388.9
"Rhode Island",252.8,254.3
"South Carolina",726.2,675.1
"South Dakota",300.6,201.0
"Tennessee",721.6,666.0
"Texas",508.2,491.4
"Utah",225.6,216.2
"Virginia",258.1,230.0
"Vermont",140.8,135.1
"Washington",332.1,338.3
"West Virginia",300.4,331.2
"Wisconsin",276.9,259.7
"Wyoming",245.5,219.3
