State,Male_le,Female_le
ALABAMA,72.5,78.2
ALASKA,75.6,80.5
ARIZONA,77.6,82.4
ARKANSAS,73,79.1
CALIFORNIA,78.1,82.8
COLORADO,77.8,82.1
CONNECTICUT,78.3,82.6
DELAWARE,76.2,80.9
DISTRICT OF COLUMBIA,73,81.2
FLORIDA,76.5,82.1
GEORGIA,75,79.9
HAWAII,77.5,84.1
IDAHO,77.6,81.8
ILLINOIS,76.3,81.4
INDIANA,74.9,80
IOWA,77,81.9
KANSAS,76,80.7
KENTUCKY,73.3,78.6
LOUISIANA,72.6,78.7
MAINE,76.7,81.6
MARYLAND,75.9,81.1
MASSACHUSETTS,78.1,82.6
MICHIGAN,75.7,80.7
MINNESOTA,78.5,83.3
MISSISSIPPI,71.8,78.3
MISSOURI,74.8,80.2
MONTANA,76.3,80.8
NEBRASKA,77.3,81.7
NEVADA,75.5,80.4
NEW HAMPSHIRE,78.4,82.7
NEW JERSEY,77.8,82.2
NEW MEXICO,75.6,81
NEW YORK,77.8,82.7
NORTH CAROLINA,75.1,80.3
NORTH DAKOTA,76.5,82.2
OHIO,75.1,80.2
OKLAHOMA,73,78.3
OREGON,77.2,81.7
PENNSYLVANIA,75.7,81
RHODE ISLAND,77,82.3
SOUTH CAROLINA,74,80.2
SOUTH DAKOTA,76.8,82.4
TENNESSEE,73.5,79.1
TEXAS,75.9,80.8
UTAH,78.8,82.2
VERMONT,78.4,82.8
VIRGINIA,76.4,81.1
WASHINGTON,77.8,81.9
WEST VIRGINIA,72.5,78.1
WISCONSIN,77.4,82.4
WYOMING,75.9,80.7
