fips,State,Year,Male_le,Female_le,a,b,c,d,e,f
1000,ALABAMA,1987,69.6,77.5,70.8,78.8,65.1,73.7,2.9,0.7
1000,ALABAMA,1988,69.4,77.2,71.0,78.4,64.0,73.6,2.9,0.7
1000,ALABAMA,1989,69.5,77.5,71.0,78.7,64.4,73.9,2.9,0.7
1000,ALABAMA,1990,69.6,77.6,71.2,78.9,64.1,73.4,2.9,0.7
1000,ALABAMA,1991,69.6,77.5,71.2,78.8,64.0,73.3,2.9,0.7
1000,ALABAMA,1992,70.2,78.2,71.9,79.5,64.6,74.1,2.9,0.7
1000,ALABAMA,1993,70.3,77.1,72.0,78.3,64.8,73.5,2.9,0.7
1000,ALABAMA,1994,70.2,77.6,71.9,78.8,64.7,73.9,2.9,0.7
1000,ALABAMA,1995,70.1,77.8,71.8,78.8,64.6,74.5,2.9,0.7
1000,ALABAMA,1996,70.4,77.6,71.9,78.6,65.3,74.2,2.9,0.7
1000,ALABAMA,1997,70.8,78.0,72.2,78.9,65.9,74.8,2.9,0.7
1000,ALABAMA,1998,71.0,77.7,72.3,78.6,66.6,74.6,2.9,0.7
1000,ALABAMA,1999,71.2,77.6,72.6,78.6,66.2,74.5,2.9,0.7
1000,ALABAMA,2000,71.2,77.9,72.4,78.8,66.8,75.0,2.9,0.7
1000,ALABAMA,2001,71.5,77.7,72.8,78.6,66.8,74.7,2.9,0.7
1000,ALABAMA,2002,71.5,77.7,72.7,78.5,67.0,75.0,2.9,0.7
1000,ALABAMA,2003,71.4,77.6,72.6,78.4,67.1,75.2,2.9,0.7
1000,ALABAMA,2004,71.6,77.7,72.7,78.4,67.6,75.4,2.9,0.7
1000,ALABAMA,2005,71.6,77.5,72.8,78.3,67.1,75.1,2.9,0.7
1000,ALABAMA,2006,71.5,77.8,72.7,78.6,67.3,75.4,2.9,0.7
1000,ALABAMA,2007,71.7,78.0,72.7,78.7,67.8,75.7,2.9,0.7
1000,ALABAMA,2008,72.1,78.1,73.1,78.6,68.2,76.4,2.9,0.7
1000,ALABAMA,2009,72.5,78.2,73.5,78.7,69.0,76.3,2.9,0.7
2000,ALASKA,1987,71.6,78.4,70.9,77.7,64.8,,4.1,2.0
2000,ALASKA,1988,71.8,78.6,71.1,77.9,64.9,,4.1,2.0
2000,ALASKA,1989,72.0,78.9,71.4,78.2,65.0,,4.1,2.0
2000,ALASKA,1990,72.0,79.3,71.4,78.6,64.8,,4.1,2.0
2000,ALASKA,1991,72.3,79.2,71.7,78.4,,,4.1,2.0
2000,ALASKA,1992,72.7,79.5,72.1,78.8,,,4.1,2.0
2000,ALASKA,1993,73.1,79.6,72.6,78.9,,,4.1,2.0
2000,ALASKA,1994,73.1,79.5,72.6,78.9,,,4.1,2.0
2000,ALASKA,1995,73.1,79.3,72.6,78.7,,,4.1,2.0
2000,ALASKA,1996,73.2,79.3,72.7,78.7,,,4.1,2.0
2000,ALASKA,1997,73.4,79.5,72.9,78.9,,,4.1,2.0
2000,ALASKA,1998,73.9,79.6,73.4,79.1,,,4.1,2.0
2000,ALASKA,1999,74.3,79.6,73.7,79.1,,,4.1,2.0
2000,ALASKA,2000,74.5,79.6,73.9,79.0,67.6,,4.1,2.0
2000,ALASKA,2001,74.6,79.6,74.1,79.0,,,4.1,2.0
2000,ALASKA,2002,74.5,79.8,74.0,79.2,,74.6,4.1,2.0
2000,ALASKA,2003,74.8,79.9,74.2,79.3,,74.6,4.1,2.0
2000,ALASKA,2004,75.1,80.3,74.5,79.7,,75.1,4.1,2.0
2000,ALASKA,2005,75.5,80.6,74.9,80.0,69.2,75.5,4.1,2.0
2000,ALASKA,2006,75.9,80.3,75.2,79.7,69.5,75.4,4.1,2.0
2000,ALASKA,2007,75.9,80.5,75.3,79.9,69.6,75.5,4.1,2.0
2000,ALASKA,2008,75.8,80.7,75.2,80.1,69.7,76.0,4.1,2.0
2000,ALASKA,2009,75.6,80.5,75.0,79.8,69.7,75.7,4.1,2.0
4000,ARIZONA,1987,71.9,79.2,72.3,79.5,68.0,76.1,5.7,3.2
4000,ARIZONA,1988,72.2,79.1,72.6,79.4,66.8,75.4,5.7,3.2
4000,ARIZONA,1989,72.6,79.4,73.0,79.7,66.4,74.0,5.7,3.2
4000,ARIZONA,1990,72.6,79.9,73.1,80.1,67.5,76.0,5.7,3.2
4000,ARIZONA,1991,73.0,79.9,73.4,80.2,68.3,75.3,5.7,3.2
4000,ARIZONA,1992,72.8,80.4,73.3,80.7,67.1,76.7,5.7,3.2
4000,ARIZONA,1993,72.7,79.7,73.1,80.1,68.0,75.5,5.7,3.2
4000,ARIZONA,1994,73.0,80.0,73.5,80.3,66.3,77.1,5.7,3.2
4000,ARIZONA,1995,73.3,80.0,73.7,80.3,67.1,75.6,5.7,3.2
4000,ARIZONA,1996,73.8,80.1,74.1,80.5,70.2,74.6,5.7,3.2
4000,ARIZONA,1997,74.3,80.4,74.7,80.6,69.6,76.5,5.7,3.2
4000,ARIZONA,1998,74.5,80.3,74.9,80.6,70.5,76.1,5.7,3.2
4000,ARIZONA,1999,74.4,80.2,74.8,80.5,69.1,75.6,5.7,3.2
4000,ARIZONA,2000,74.8,80.4,75.1,80.6,70.6,76.4,5.7,3.2
4000,ARIZONA,2001,75.0,80.5,75.4,80.9,72.3,75.3,5.7,3.2
4000,ARIZONA,2002,74.9,80.6,75.2,80.8,71.5,78.2,5.7,3.2
4000,ARIZONA,2003,75.1,80.7,75.5,80.9,71.2,77.5,5.7,3.2
4000,ARIZONA,2004,75.6,81.1,75.8,81.3,72.0,77.4,5.7,3.2
4000,ARIZONA,2005,75.4,81.0,75.7,81.1,72.6,77.7,5.7,3.2
4000,ARIZONA,2006,75.8,81.2,76.0,81.2,70.9,79.9,5.7,3.2
4000,ARIZONA,2007,76.6,81.8,76.8,81.9,74.3,79.5,5.7,3.2
4000,ARIZONA,2008,77.0,82.2,77.3,82.4,74.5,79.8,5.7,3.2
4000,ARIZONA,2009,77.6,82.4,77.9,82.6,75.1,79.9,5.7,3.2
5000,ARKANSAS,1987,70.3,78.1,71.0,78.8,64.9,74.1,2.7,1.0
5000,ARKANSAS,1988,70.2,77.8,71.1,78.6,64.2,72.6,2.7,1.0
5000,ARKANSAS,1989,70.4,78.1,71.3,78.8,64.0,73.9,2.7,1.0
5000,ARKANSAS,1990,70.6,78.0,71.6,78.9,63.9,73.0,2.7,1.0
5000,ARKANSAS,1991,70.5,78.1,71.6,79.0,63.3,73.1,2.7,1.0
5000,ARKANSAS,1992,70.9,78.3,71.9,79.2,64.3,72.9,2.7,1.0
5000,ARKANSAS,1993,70.5,78.0,71.5,78.7,63.8,73.6,2.7,1.0
5000,ARKANSAS,1994,70.7,78.4,71.5,79.1,64.6,74.4,2.7,1.0
5000,ARKANSAS,1995,70.9,78.6,72.0,79.3,64.0,73.8,2.7,1.0
5000,ARKANSAS,1996,71.4,78.5,72.3,79.0,65.8,74.6,2.7,1.0
5000,ARKANSAS,1997,71.3,77.9,72.2,78.5,65.7,73.9,2.7,1.0
5000,ARKANSAS,1998,71.8,78.4,72.7,79.0,65.7,74.0,2.7,1.0
5000,ARKANSAS,1999,71.9,78.5,72.6,79.1,66.4,74.2,2.7,1.0
5000,ARKANSAS,2000,71.9,78.1,72.7,78.8,66.1,73.8,2.7,1.0
5000,ARKANSAS,2001,72.2,78.3,72.9,78.8,67.3,74.8,2.7,1.0
5000,ARKANSAS,2002,72.1,77.9,72.8,78.6,67.3,74.0,2.7,1.0
5000,ARKANSAS,2003,72.2,78.4,73.0,78.9,66.4,75.1,2.7,1.0
5000,ARKANSAS,2004,72.6,78.2,73.3,78.7,66.9,74.5,2.7,1.0
5000,ARKANSAS,2005,72.4,78.7,73.1,79.2,66.6,74.9,2.7,1.0
5000,ARKANSAS,2006,72.5,78.6,73.2,79.2,67.1,74.6,2.7,1.0
5000,ARKANSAS,2007,73.0,78.5,73.6,78.9,67.4,75.3,2.7,1.0
5000,ARKANSAS,2008,72.7,78.4,73.4,78.8,67.1,75.9,2.7,1.0
5000,ARKANSAS,2009,73.0,79.1,73.6,79.6,67.5,75.4,2.7,1.0
6000,CALIFORNIA,1987,72.0,78.7,72.1,78.8,64.7,73.1,6.1,4.1
6000,CALIFORNIA,1988,72.0,78.6,72.1,78.7,65.0,72.9,6.1,4.1
6000,CALIFORNIA,1989,72.2,78.8,72.3,78.9,64.8,73.3,6.1,4.1
6000,CALIFORNIA,1990,72.6,79.3,72.6,79.3,65.6,74.1,6.1,4.1
6000,CALIFORNIA,1991,72.7,79.5,72.8,79.5,65.2,74.3,6.1,4.1
6000,CALIFORNIA,1992,73.1,79.7,73.1,79.8,65.8,74.4,6.1,4.1
6000,CALIFORNIA,1993,73.0,79.7,73.1,79.7,65.2,74.3,6.1,4.1
6000,CALIFORNIA,1994,73.3,79.8,73.3,79.8,65.5,74.5,6.1,4.1
6000,CALIFORNIA,1995,73.6,80.1,73.6,80.1,66.3,74.7,6.1,4.1
6000,CALIFORNIA,1996,74.4,80.1,74.4,80.1,67.4,74.8,6.1,4.1
6000,CALIFORNIA,1997,75.0,80.3,74.9,80.2,68.7,75.5,6.1,4.1
6000,CALIFORNIA,1998,75.3,80.3,75.2,80.2,68.9,75.4,6.1,4.1
6000,CALIFORNIA,1999,75.7,80.5,75.6,80.4,69.6,75.5,6.1,4.1
6000,CALIFORNIA,2000,75.9,80.8,75.8,80.6,69.8,76.2,6.1,4.1
6000,CALIFORNIA,2001,76.0,80.8,75.9,80.7,69.5,75.8,6.1,4.1
6000,CALIFORNIA,2002,76.2,81.0,76.1,80.8,69.5,76.2,6.1,4.1
6000,CALIFORNIA,2003,76.2,81.1,76.1,80.9,69.6,76.3,6.1,4.1
6000,CALIFORNIA,2004,76.8,81.5,76.6,81.3,70.1,76.5,6.1,4.1
6000,CALIFORNIA,2005,76.7,81.6,76.6,81.4,69.6,76.6,6.1,4.1
6000,CALIFORNIA,2006,76.9,81.9,76.7,81.6,70.5,76.9,6.1,4.1
6000,CALIFORNIA,2007,77.4,82.2,77.2,82.0,71.1,77.3,6.1,4.1
6000,CALIFORNIA,2008,77.7,82.4,77.5,82.1,71.7,77.8,6.1,4.1
