Rank,'State',Rate
1,'NORTH DAKOTA',3
2,'NEBRASKA',4
3,'SOUTH DAKOTA',4.3
4,'VERMONT',4.8
5,'IOWA',5.2
5,'NEW HAMPSHIRE',5.2
7,'WYOMING',5.3
8,'OKLAHOMA',5.4
9,'VIRGINIA',5.6
10,'MINNESOTA',5.8
10,'UTAH',5.8
12,'KANSAS',6.2
12,'MONTANA',6.2
14,'HAWAII',6.4
15,'MASSACHUSETTS',6.5
16,'MARYLAND',6.6
17,'WISCONSIN',6.8
18,'DELAWARE',6.9
18,'WEST VIRGINIA',6.9
20,'ALASKA',7
20,'TEXAS',7
22,'LOUISIANA',7.1
23,'MAINE',7.2
23,'NEW MEXICO',7.2
25,'ALABAMA',7.3
26,'ARKANSAS',7.4
26,'MISSOURI',7.4
28,'OHIO',7.5
28,'PENNSYLVANIA',7.5
30,'CONNECTICUT',7.7
31,'COLORADO',7.8
32,'IDAHO',7.9
32,'TENNESSEE',7.9
34,'INDIANA',8.2
35,'WASHINGTON',8.3
36,'MICHIGAN',8.5
36,'NEW YORK',8.5
38,'ARIZONA',8.6
38,'KENTUCKY',8.6
38,'OREGON',8.6
41,'ILLINOIS',8.8
42,'SOUTH CAROLINA',8.9
43,'FLORIDA',9
43,'GEORGIA',9
43,'MISSISSIPPI',9
43,'NEW JERSEY',9
47,'NORTH CAROLINA',9.7
48,'DISTRICT OF COLUMBIA',9.8
49,'CALIFORNIA',11
50,'RHODE ISLAND',11.1
51,'NEVADA',12
